Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:HDC,"Hudaco Industries Limited (JSE:HDC)",https://www.listcorp.com/jse/hdc/hudaco-industries-limited,"	6194640000",200.5,0.00,0,Industrials
JSE:EMI,"Emira Property Fund Limited (JSE:EMI)",https://www.listcorp.com/jse/emi/emira-property-fund-limited,"	6120430000",11.71,0.00,0,Financials
JSE:SDO,"STADIO Holdings Limited (JSE:SDO)",https://www.listcorp.com/jse/sdo/stadio-holdings-limited,"	5768440000",6.8,0.00,0,"Consumer Services"
JSE:DKR,"Deutsche Konsum REIT-AG (JSE:DKR)",https://www.listcorp.com/jse/dkr/deutsche-konsum-reit,"	5484330000",156,0.00,0,Financials
JSE:HET,"Heriot REIT Limited (JSE:HET)",https://www.listcorp.com/jse/het/heriot-reit-limited,"	5122590000",16,0.00,0,Financials
JSE:RFG,"RFG Holdings Limited (JSE:RFG)",https://www.listcorp.com/jse/rfg/rfg-holdings-limited,"	5018750000",19.1,0.00,0,"Consumer Goods"
JSE:THA,"Tharisa plc (JSE:THA)",https://www.listcorp.com/jse/tha/tharisa,"	4886940000",16.15,0.00,0,"Basic Materials"
JSE:BLU,"Blue Label Telecoms (JSE:BLU)",https://www.listcorp.com/jse/blu/blue-label-telecoms,"	4860650000",5.32,0.00,0,Telecommunications
JSE:DIB,"Dipula Income Fund Limited B (JSE:DIB)",https://www.listcorp.com/jse/dib/dipula-income-fund-limited-b,"	4806250000",5.27,0.00,0,Financials
JSE:MED,"Middle East Diamond Resources Limited (JSE:MED)",https://www.listcorp.com/jse/med/middle-east-diamond-resources-limited,"	4786390000",0,0.00,0,"Basic Materials"
JSE:CSB,"Cashbuild Limited (JSE:CSB)",https://www.listcorp.com/jse/csb/cashbuild-limited,"	4573080000",193,0.00,0,"Consumer Services"
JSE:CAT,"Caxton & CTP Publishers & Printers Limited (JSE:CAT)",https://www.listcorp.com/jse/cat/caxton-and-ctp-publishers-and-printers-limited,"	4511450000",12.6,0.00,0,"Consumer Services"
JSE:LEW,"Lewis Group Limited (JSE:LEW)",https://www.listcorp.com/jse/lew/lewis-group-limited,"	4406420000",84.48,0.00,0,"Consumer Services"
JSE:MPT,"Mpact Limited (JSE:MPT)",https://www.listcorp.com/jse/mpt/mpact-limited,"	4278860000",28.63,0.00,0,Industrials
JSE:NT1,"Net 1 UEPS Technologies Inc (JSE:NT1)",https://www.listcorp.com/jse/nt1/net1,"	4228030000",75,0.00,0,Industrials
JSE:BEL,"Bell Equipment Limited (JSE:BEL)",https://www.listcorp.com/jse/bel/bell-equipment-limited,"	3893070000",40.71,0.00,0,Industrials
JSE:KAL,"Kaap Agri Limited (JSE:KAL)",https://www.listcorp.com/jse/kal/kaap-agri-limited,"	3742000000",50.35,0.00,0,"Consumer Services"
JSE:OAO,"Oando PLC (JSE:OAO)",https://www.listcorp.com/jse/oao/oando-plc,"	3729420000",0.3,0.00,0,"Oil & Gas"
JSE:SBP,"Sabvest Capital Limited (JSE:SBP)",https://www.listcorp.com/jse/sbp/sabvest-capital-limited,"	3706290000",94.5,0.00,0,Financials
JSE:NPK,"Nampak Limited (JSE:NPK)",https://www.listcorp.com/jse/npk/nampak-limited,"	3698330000",436.32,0.00,0,Industrials
JSE:EXP,"Exemplar Reitail Limited (JSE:EXP)",https://www.listcorp.com/jse/exp/exemplar-reitail-limited,"	3655200000",11,0.00,0,Financials
JSE:MRF,"Merafe Resources Limited (JSE:MRF)",https://www.listcorp.com/jse/mrf/merafe-resources-limited,"	3623730000",1.45,0.00,0,"Basic Materials"
JSE:SYG,"Sygnia Limited (JSE:SYG)",https://www.listcorp.com/jse/syg/sygnia-limited,"	3401360000",22.35,0.00,0,Financials
JSE:IVT,"Invicta Holdings Limited (JSE:IVT)",https://www.listcorp.com/jse/ivt/invicta-holdings,"	3330410000",34.39,0.00,0,Industrials
JSE:JBL,"Jubilee Metals Group Plc (JSE:JBL)",https://www.listcorp.com/jse/jbl/jubilee-metals-group-plc,"	3312270000",1.1,0.00,0,"Basic Materials"
JSE:CRP,"Capital & Regional plc (JSE:CRP)",https://www.listcorp.com/jse/crp/capital-and-regional-plc,"	3303890000",14.18,0.00,0,Financials
JSE:SUR,"Spur Corporation Limited (JSE:SUR)",https://www.listcorp.com/jse/sur/spur-corporation-limited,"	3228570000",35.48,0.00,0,"Consumer Services"
JSE:HIL,"Homechoice International plc (JSE:HIL)",https://www.listcorp.com/jse/hil/homechoice-international-plc,"	3201910000",30,0.00,0,"Consumer Services"
JSE:OCT,"Octodec Investments Limited (JSE:OCT)",https://www.listcorp.com/jse/oct/octodec-investments-limited,"	3186380000",11.97,0.00,0,Financials
JSE:SEA,"Spear Reit Limited (JSE:SEA)",https://www.listcorp.com/jse/sea/spear-reit-limited,"	3161880000",9.3,0.00,0,Financials
JSE:RBO,"Rainbow Chicken Limited (JSE:RBO)",https://www.listcorp.com/jse/rbo/rainbow-chicken-limited,"	3122470000",3.5,0.00,0,"Consumer Goods"
JSE:CLH,"City Lodge Hotels Limited (JSE:CLH)",https://www.listcorp.com/jse/clh/city-lodge-hotels-limited,"	2960830000",4.95,0.00,0,"Consumer Services"
JSE:SHG,"Sea Harvest Group Limited (JSE:SHG)",https://www.listcorp.com/jse/shg/sea-harvest-group-limited,"	2906820000",8.1,0.00,0,"Consumer Goods"
JSE:LBR,"Libstar Holdings Limited (JSE:LBR)",https://www.listcorp.com/jse/lbr/libstar-holdings-limited,"	2870890000",4.21,0.00,0,"Consumer Goods"
JSE:ACS,"Acsion Limited (JSE:ACS)",https://www.listcorp.com/jse/acs/acsion-limited,"	2808170000",7.11,0.00,0,Financials
JSE:KP2,"Kore Potash Plc (JSE:KP2)",https://www.listcorp.com/jse/kp2/kore-potash-plc,"	2758060000",0.63,0.00,0,"Basic Materials"
JSE:ZED,"Zeder Investments Limited (JSE:ZED)",https://www.listcorp.com/jse/zed/zeder-investments-limited,"	2618270000",1.7,0.00,0,Financials
JSE:ZZD,"Zeda Limited (JSE:ZZD)",https://www.listcorp.com/jse/zzd/zeda-limited,"	2550680000",13.45,0.00,0,"Consumer Goods"
JSE:NVS,"Novus Holdings Limited (JSE:NVS)",https://www.listcorp.com/jse/nvs/novus-holdings-limited,"	2522400000",7.35,0.00,0,Industrials
JSE:AHB,"Arrowhead Properties Limited B (JSE:AHB)",https://www.listcorp.com/jse/ahb/arrowhead-properties-limited-b,"	2428630000",2.47,0.03,1.23,Financials
JSE:CMH,"Combined Motor Holdings Limited (JSE:CMH)",https://www.listcorp.com/jse/cmh/combined-motor-holdings-limited,"	2423580000",32.4,0.00,0,"Consumer Services"
JSE:CTA,"Capital Appreciation Limited (JSE:CTA)",https://www.listcorp.com/jse/cta/capital-appreciation-limited,"	2358000000",1.8,0.00,0,Technology
JSE:GML,"Gemfields Group Limited (JSE:GML)",https://www.listcorp.com/jse/gml/gemfields-group-limited,"	2324370000",1.99,0.00,0,"Basic Materials"
JSE:SCD,"Schroder European Real Estate Investment Trust (JSE:SCD)",https://www.listcorp.com/jse/scd/schroeder-european-reit,"	2206620000",16.5,0.00,0,Financials
JSE:MTA,"Metair Investments Limited (JSE:MTA)",https://www.listcorp.com/jse/mta/metair-investments-limited,"	2162980000",10.87,0.00,0,"Consumer Goods"
JSE:TDH,"Tradehold Limited (JSE:TDH)",https://www.listcorp.com/jse/tdh/tradehold-limited,"	2090770000",8,0.00,0,Financials
JSE:MDI,"Master Drilling Group Limited (JSE:MDI)",https://www.listcorp.com/jse/mdi/master-drilling-group,"	2062350000",13.7,0.00,0,Industrials
JSE:TCP,"Transaction Capital Ltd (JSE:TCP)",https://www.listcorp.com/jse/tcp/transaction-capital-ltd,"	2023530000",2.58,0.00,0,Financials
JSE:QFH,"Quantum Foods Holdings (JSE:QFH)",https://www.listcorp.com/jse/qfh/quantum-foods-holdings,"	1710180000",8.5,0.00,0,"Consumer Goods"
JSE:GPL,"Grand Parade Investments Limited (JSE:GPL)",https://www.listcorp.com/jse/gpl/grand-parade-investments-limited,"	1690610000",3.62,0.00,0,Financials
JSE:ACT,"Afrocentric Investment Corp (JSE:ACT)",https://www.listcorp.com/jse/act/afrocentric-investment-corp,"	1640120000",1.95,0.00,0,"Health Care"
JSE:SAR,"Safari Investments RSA Limited (JSE:SAR)",https://www.listcorp.com/jse/sar/safari-investments-rsa-limited,"	1611410000",6.25,0.00,0,Financials
JSE:EPE,"EPE Capital Partners Limited (JSE:EPE)",https://www.listcorp.com/jse/epe/epe-capital-partners-limited,"	1595620000",5.55,0.00,0,Financials
